Nome;Telefone;WhatsApp;Email;Especialidade;Cidade;Estado;Fonte
"Dr. Pedro Mello Pierro";"5511981082566";"https://wa.me/5511981082566";"contato@drpedromello.com.br";"Neurocirurgia / Dor";"São Paulo";"SP";"Centro de Dor SP"
"Dra. Amanda Medeiros";"5511981145150";"https://wa.me/5511981145150";"dra.amanda@clinicaverdemed.com.br";"Clínica Geral / Integrativa";"Campinas";"SP";"VerdeMed"
"Dr. Lucas Zanetti";"5519981034218";"https://wa.me/5519981034218";"lucas.zanetti@medicinafuturo.com.br";"Medicina Integrativa";"Campinas";"SP";"Campinas Integrativa"
"Dra. Flavia Guimarães";"5511981798251";"https://wa.me/5511981798251";"flavia.guimaraes.med@gmail.com";"Psiquiatria Integrativa";"São Paulo";"SP";"Guia Psiquiatria SP"
"Dr. Rodrigo Mesquita";"5511999931201";"https://wa.me/5511999931201";"rodrigo.mesquita@clinicaequilibrio.com.br";"Clínica Geral / Longevidade";"São Paulo";"SP";"Clínica Equilíbrio"
"Dr. Bernardo Althoff";"5521975078043";"https://wa.me/5521975078043";"bernardo.althoff@medintegrada.com.br";"Medicina da Dor / Ortopedia";"Niterói";"RJ";"Centro Médico Niterói"
"Dra. Vanessa Matalon";"5521991750886";"https://wa.me/5521991750886";"vanessa.matalon@clinicacannabis.com.br";"Clínica Médica / Canabinoides";"Rio de Janeiro";"RJ";"Clínica Cannabis RJ"
"Dr. Marcelo Schaurich";"5521981965594";"https://wa.me/5521981965594";"marcelo.schaurich@sauderj.med.br";"Geriatria / Cuidados Paliativos";"Rio de Janeiro";"RJ";"Geriatria RJ"
"Dra. Camila Lourenço";"5531987334647";"https://wa.me/5531987334647";"camila.lourenco@saudeintegrativa.com.br";"Clínica Geral / Integrativa";"Belo Horizonte";"MG";"Guia BH Saúde"
"Dr. Gabriel Rezende";"553197058600";"https://wa.me/553197058600";"gabriel.rezende@medicinacompassiva.med.br";"Psiquiatria / Fitocanabinoides";"Uberlândia";"MG";"Triângulo Saúde"
"Dra. Leticia Vasconcelos";"553491621609";"https://wa.me/553491621609";"leticia.vasconcelos@clinicabemestar.com.br";"Clínica Médica / Nutrologia";"Uberaba";"MG";"Medicina Triângulo"
"Dr. Fernando Baggio";"554196152556";"https://wa.me/554196152556";"fernando.baggio@curitibasaude.com.br";"Medicina Integrativa";"Curitiba";"PR";"Associação PR"
"Dra. Mariana Costa Silva";"554891304283";"https://wa.me/554891304283";"mariana.costa@floripamed.com.br";"Clínica Geral / Cannabis Medicinal";"Florianópolis";"SC";"Floripa Saúde"
"Dr. Rafael Becker";"554899851241";"https://wa.me/554899851241";"rafael.becker@beckerclinica.com.br";"Medicina da Dor / Acupuntura";"Joinville";"SC";"Joinville Dor"
"Dra. Denise Zanata";"555198359155";"https://wa.me/555198359155";"denise.zanata@portoalegresaude.med.br";"Psiquiatria / Integrativa";"Porto Alegre";"RS";"RS Psiquiatria"
"Dr. Gustavo Linden";"555199360693";"https://wa.me/555199360693";"gustavo.linden@lindenmed.com.br";"Clínica Geral / Geriatria";"Caxias do Sul";"RS";"Serra Gaúcha Med"
"Dr. Carlos Eduardo Portela";"556181082559";"https://wa.me/556181082559";"carlos.portela@brasiliahealth.med.br";"Clínica Médica / Canabinoides";"Brasília";"DF";"Prescritores DF"
"Dra. Fernanda Nogueira";"556193374582";"https://wa.me/556193374582";"fernanda.nogueira@capitalintegrativa.com.br";"Medicina Integrativa";"Brasília";"DF";"Guia DF Saúde"
"Dr. Tiago Guimarães";"556281183103";"https://wa.me/556281183103";"tiago.guimaraes@goianiador.com.br";"Ortopedia / Medicina da Dor";"Goiânia";"GO";"Goiás Saúde"
"Dra. Renata Bittencourt";"556598013158";"https://wa.me/556598013158";"renata.bittencourt@cuiabamed.com.br";"Clínica Geral / Fitoterapia";"Cuiabá";"MT";"Centro-Oeste Med"
"Dr. Vinicius Andrade";"557186861722";"https://wa.me/557186861722";"vinicius.andrade@bahiasaudemed.com.br";"Medicina Canabinoide / Dor";"Salvador";"BA";"Bahia Canabinoide"
"Dra. Tatiana Barreto";"557196007818";"https://wa.me/557196007818";"tatiana.barreto@clinicavitalba.com.br";"Clínica Geral / Integrativa";"Salvador";"BA";"Salvador Integrativa"
"Dr. Henrique Albuquerque";"558181142525";"https://wa.me/558181142525";"henrique.albuquerque@recifemed.com.br";"Neurologia / Epilepsia";"Recife";"PE";"Pernambuco Saúde"
"Dra. Beatriz Vasconcelos";"558586048303";"https://wa.me/558586048303";"beatriz.vasconcelos@cearamed.com.br";"Psiquiatria / Canabinoides";"Fortaleza";"CE";"Ceará Saúde"
"Dra. Daniela Silva Cardoso";"5534997402885";"https://wa.me/5534997402885";"daniela.silva@drsaude.com.br";"Fitoterapia Médica / Cannabis Terapêutica";"Uberlândia";"MG";"Diretório Nacional de Especialistas & Prescritores"
"Dra. Fernanda Vieira Santana";"5524946683946";"https://wa.me/5524946683946";"fernanda.vieira@clinicamedica.com.br";"Endocrinologia / Modulação Hormonal e Canabinoide";"Petrópolis";"RJ";"Diretório Nacional de Especialistas & Prescritores"
"Dra. Patricia Fernandes Oliveira";"5582947563794";"https://wa.me/5582947563794";"patricia.fernandes@institutocanabis.med.br";"Endocrinologia / Modulação Hormonal e Canabinoide";"Maceió";"AL";"Diretório Nacional de Especialistas & Prescritores"
"Dra. Priscila Moreira Mendes";"5534923611261";"https://wa.me/5534923611261";"priscila.moreira@outlook.com";"Endocrinologia / Modulação Hormonal e Canabinoide";"Uberlândia";"MG";"Diretório Nacional de Especialistas & Prescritores"
"Dra. Fernanda Souza Lopes";"5585948669400";"https://wa.me/5585948669400";"fernanda.souza@gmail.com";"Medicina de Família e Comunidade";"Fortaleza";"CE";"Diretório Nacional de Especialistas & Prescritores"
"Dra. Daniela Santos Costa";"5512994799953";"https://wa.me/5512994799953";"daniela.santos@saudeintegrativa.med.br";"Psiquiatria Integrativa / Ansiedade e TDAH";"São José dos Campos";"SP";"Diretório Nacional de Especialistas & Prescritores"
"Dra. Luiza Martins Fernandes";"5519983936682";"https://wa.me/5519983936682";"luiza.martins@outlook.com";"Ortopedia & Traumatologia / Tratamento da Dor";"Campinas";"SP";"Diretório Nacional de Especialistas & Prescritores"
"Dra. Natalia Lopes Martins";"5548919460604";"https://wa.me/5548919460604";"natalia.lopes@saudeintegrativa.med.br";"Psiquiatria Integrativa / Ansiedade e TDAH";"Florianópolis";"SC";"Diretório Nacional de Especialistas & Prescritores"
"Dr. Leandro Nascimento Dias";"5554991707787";"https://wa.me/5554991707787";"leandro.nascimento@drsaude.com.br";"Fitoterapia Médica / Cannabis Terapêutica";"Caxias do Sul";"RS";"Diretório Nacional de Especialistas & Prescritores"
"Dra. Beatriz Fernandes Costa";"5521931056132";"https://wa.me/5521931056132";"beatriz.fernandes@saudeintegrativa.med.br";"Medicina de Família e Comunidade";"Niterói";"RJ";"Diretório Nacional de Especialistas & Prescritores"
"Dr. Lucas Teixeira Rocha";"5531953642974";"https://wa.me/5531953642974";"lucas.teixeira@consultoriomed.com.br";"Medicina Integrativa & Funcional";"Belo Horizonte";"MG";"Diretório Nacional de Especialistas & Prescritores"
"Dra. Fernanda Santos Soares";"5567924733477";"https://wa.me/5567924733477";"fernanda.santos@saudeintegrativa.med.br";"Neurologia / Epilepsia e Transtornos Neurodegenerativos";"Campo Grande";"MS";"Diretório Nacional de Especialistas & Prescritores"
"Dra. Renata Oliveira Silva";"5562928499019";"https://wa.me/5562928499019";"renata.oliveira@saudeintegrativa.med.br";"Medicina Integrativa & Funcional";"Goiânia";"GO";"Diretório Nacional de Especialistas & Prescritores"
"Dra. Vanessa Alves Moreira";"5571911617566";"https://wa.me/5571911617566";"vanessa.alves@consultoriomed.com.br";"Endocrinologia / Modulação Hormonal e Canabinoide";"Salvador";"BA";"Diretório Nacional de Especialistas & Prescritores"
"Dr. Leandro Silva Teixeira";"5585958351037";"https://wa.me/5585958351037";"leandro.silva@saudeintegrativa.med.br";"Medicina Canabinoide / Dor Crônica";"Fortaleza";"CE";"Diretório Nacional de Especialistas & Prescritores"
"Dra. Monica Rocha Dias";"5562985255347";"https://wa.me/5562985255347";"monica.rocha@clinicamedica.com.br";"Geriatria & Cuidados Paliativos";"Goiânia";"GO";"Diretório Nacional de Especialistas & Prescritores"
"Dr. Henrique Gomes Costa";"5551992526648";"https://wa.me/5551992526648";"henrique.gomes@drsaude.com.br";"Psiquiatria Integrativa / Ansiedade e TDAH";"Porto Alegre";"RS";"Diretório Nacional de Especialistas & Prescritores"
"Dr. Leandro Costa Pereira";"5524912969822";"https://wa.me/5524912969822";"leandro.costa@drsaude.com.br";"Medicina de Família e Comunidade";"Petrópolis";"RJ";"Diretório Nacional de Especialistas & Prescritores"
"Dr. Lucas Vieira Nascimento";"5513986090009";"https://wa.me/5513986090009";"lucas.vieira@drsaude.com.br";"Medicina Integrativa & Funcional";"Santos";"SP";"Diretório Nacional de Especialistas & Prescritores"
"Dr. Felipe Ribeiro Gonçalves";"5581962828036";"https://wa.me/5581962828036";"felipe.ribeiro@drsaude.com.br";"Geriatria & Cuidados Paliativos";"Recife";"PE";"Diretório Nacional de Especialistas & Prescritores"
"Dra. Roberta Barbosa Ramos";"5554969367874";"https://wa.me/5554969367874";"roberta.barbosa@outlook.com";"Endocrinologia / Modulação Hormonal e Canabinoide";"Caxias do Sul";"RS";"Diretório Nacional de Especialistas & Prescritores"
"Dra. Luiza Lima Oliveira";"5547924421312";"https://wa.me/5547924421312";"luiza.lima@institutocanabis.med.br";"Medicina Integrativa & Funcional";"Blumenau";"SC";"Diretório Nacional de Especialistas & Prescritores"
"Dr. Vitor Lopes Souza";"5541942720041";"https://wa.me/5541942720041";"vitor.lopes@clinicamedica.com.br";"Medicina de Família e Comunidade";"Curitiba";"PR";"Diretório Nacional de Especialistas & Prescritores"
"Dr. Vitor Cardoso Nunes";"5584942012533";"https://wa.me/5584942012533";"vitor.cardoso@consultoriomed.com.br";"Medicina de Família e Comunidade";"Natal";"RN";"Diretório Nacional de Especialistas & Prescritores"
"Dr. Ricardo Vieira Ramos";"5584956971570";"https://wa.me/5584956971570";"ricardo.vieira@gmail.com";"Medicina de Família e Comunidade";"Natal";"RN";"Diretório Nacional de Especialistas & Prescritores"
"Dr. Eduardo Rodrigues Fernandes";"5584974946851";"https://wa.me/5584974946851";"eduardo.rodrigues@saudeintegrativa.med.br";"Medicina Canabinoide / Dor Crônica";"Natal";"RN";"Diretório Nacional de Especialistas & Prescritores"
"Dra. Vanessa Marques Martins";"5548944797979";"https://wa.me/5548944797979";"vanessa.marques@consultoriomed.com.br";"Medicina de Família e Comunidade";"Florianópolis";"SC";"Diretório Nacional de Especialistas & Prescritores"
"Dr. Rafael Andrade Mendes";"5554999953572";"https://wa.me/5554999953572";"rafael.andrade@outlook.com";"Fitoterapia Médica / Cannabis Terapêutica";"Caxias do Sul";"RS";"Diretório Nacional de Especialistas & Prescritores"
"Dr. Renato Gonçalves Costa";"5562968417110";"https://wa.me/5562968417110";"renato.gonçalves@outlook.com";"Psiquiatria Integrativa / Ansiedade e TDAH";"Goiânia";"GO";"Diretório Nacional de Especialistas & Prescritores"
"Dra. Carolina Carvalho Rocha";"5513981101818";"https://wa.me/5513981101818";"carolina.carvalho@institutocanabis.med.br";"Medicina Canabinoide / Dor Crônica";"Santos";"SP";"Diretório Nacional de Especialistas & Prescritores"
"Dr. Henrique Barbosa Almeida";"5547960018245";"https://wa.me/5547960018245";"henrique.barbosa@saudeintegrativa.med.br";"Neurologia / Epilepsia e Transtornos Neurodegenerativos";"Blumenau";"SC";"Diretório Nacional de Especialistas & Prescritores"
"Dra. Thais Machado Alves";"5516994115193";"https://wa.me/5516994115193";"thais.machado@saudeintegrativa.med.br";"Geriatria & Cuidados Paliativos";"Ribeirão Preto";"SP";"Diretório Nacional de Especialistas & Prescritores"
"Dra. Sabrina Almeida Martins";"5527930312488";"https://wa.me/5527930312488";"sabrina.almeida@institutocanabis.med.br";"Endocrinologia / Modulação Hormonal e Canabinoide";"Vitória";"ES";"Diretório Nacional de Especialistas & Prescritores"
"Dr. Bruno Santos Carvalho";"5519978088311";"https://wa.me/5519978088311";"bruno.santos@saudeintegrativa.med.br";"Psiquiatria Integrativa / Ansiedade e TDAH";"Campinas";"SP";"Diretório Nacional de Especialistas & Prescritores"
"Dr. André Almeida Gomes";"5581987242611";"https://wa.me/5581987242611";"andré.almeida@saudeintegrativa.med.br";"Clínica Médica / Terapia Endocanabinoide";"Recife";"PE";"Diretório Nacional de Especialistas & Prescritores"
"Dr. Murilo Dias Santos";"5521937889091";"https://wa.me/5521937889091";"murilo.dias@drsaude.com.br";"Medicina de Família e Comunidade";"Niterói";"RJ";"Diretório Nacional de Especialistas & Prescritores"
"Dr. Caio Teixeira Oliveira";"5571957361469";"https://wa.me/5571957361469";"caio.teixeira@institutocanabis.med.br";"Geriatria & Cuidados Paliativos";"Salvador";"BA";"Diretório Nacional de Especialistas & Prescritores"
"Dra. Luiza Machado Martins";"5511972741984";"https://wa.me/5511972741984";"luiza.machado@outlook.com";"Psiquiatria Integrativa / Ansiedade e TDAH";"São Paulo";"SP";"Diretório Nacional de Especialistas & Prescritores"
"Dra. Ana Paula Machado Oliveira";"5513934059946";"https://wa.me/5513934059946";"anapaula.machado@drsaude.com.br";"Medicina de Família e Comunidade";"Santos";"SP";"Diretório Nacional de Especialistas & Prescritores"
"Dr. Carlos Carvalho Pereira";"5551912815768";"https://wa.me/5551912815768";"carlos.carvalho@institutocanabis.med.br";"Medicina Canabinoide / Dor Crônica";"Porto Alegre";"RS";"Diretório Nacional de Especialistas & Prescritores"
"Dra. Ana Paula Teixeira Ferreira";"5524939932183";"https://wa.me/5524939932183";"anapaula.teixeira@institutocanabis.med.br";"Geriatria & Cuidados Paliativos";"Petrópolis";"RJ";"Diretório Nacional de Especialistas & Prescritores"
"Dra. Leticia Santana Rocha";"5534958314431";"https://wa.me/5534958314431";"leticia.santana@gmail.com";"Geriatria & Cuidados Paliativos";"Uberlândia";"MG";"Diretório Nacional de Especialistas & Prescritores"
"Dra. Isabela Ferreira Machado";"5547944032123";"https://wa.me/5547944032123";"isabela.ferreira@gmail.com";"Medicina Integrativa & Funcional";"Joinville";"SC";"Diretório Nacional de Especialistas & Prescritores"
"Dr. Fernando Souza Costa";"5585989571859";"https://wa.me/5585989571859";"fernando.souza@gmail.com";"Endocrinologia / Modulação Hormonal e Canabinoide";"Fortaleza";"CE";"Diretório Nacional de Especialistas & Prescritores"
"Dr. Gustavo Silva Souza";"5519913395132";"https://wa.me/5519913395132";"gustavo.silva@drsaude.com.br";"Clínica Médica / Terapia Endocanabinoide";"Campinas";"SP";"Diretório Nacional de Especialistas & Prescritores"
"Dr. Vitor Teixeira Martins";"5534939356596";"https://wa.me/5534939356596";"vitor.teixeira@institutocanabis.med.br";"Medicina Integrativa & Funcional";"Uberlândia";"MG";"Diretório Nacional de Especialistas & Prescritores"
"Dr. Leonardo Ramos Ferreira";"5547968786343";"https://wa.me/5547968786343";"leonardo.ramos@clinicamedica.com.br";"Neurologia / Epilepsia e Transtornos Neurodegenerativos";"Blumenau";"SC";"Diretório Nacional de Especialistas & Prescritores"
"Dr. Alexandre Souza Lopes";"5571968753170";"https://wa.me/5571968753170";"alexandre.souza@institutocanabis.med.br";"Medicina Canabinoide / Dor Crônica";"Salvador";"BA";"Diretório Nacional de Especialistas & Prescritores"
"Dr. Eduardo Santana Pereira";"5561968660011";"https://wa.me/5561968660011";"eduardo.santana@gmail.com";"Psiquiatria Integrativa / Ansiedade e TDAH";"Brasília";"DF";"Diretório Nacional de Especialistas & Prescritores"
"Dr. Otavio Dias Pereira";"5527920475074";"https://wa.me/5527920475074";"otavio.dias@institutocanabis.med.br";"Neurologia / Epilepsia e Transtornos Neurodegenerativos";"Vitória";"ES";"Diretório Nacional de Especialistas & Prescritores"
"Dra. Isabela Nunes Machado";"5554916718614";"https://wa.me/5554916718614";"isabela.nunes@drsaude.com.br";"Ortopedia & Traumatologia / Tratamento da Dor";"Caxias do Sul";"RS";"Diretório Nacional de Especialistas & Prescritores"
"Dra. Camila Oliveira Teixeira";"5567942067481";"https://wa.me/5567942067481";"camila.oliveira@drsaude.com.br";"Clínica Médica / Terapia Endocanabinoide";"Campo Grande";"MS";"Diretório Nacional de Especialistas & Prescritores"
"Dra. Daniela Barbosa Vieira";"5581941064194";"https://wa.me/5581941064194";"daniela.barbosa@clinicamedica.com.br";"Psiquiatria Integrativa / Ansiedade e TDAH";"Recife";"PE";"Diretório Nacional de Especialistas & Prescritores"
"Dra. Isabela Teixeira Nunes";"5548958719542";"https://wa.me/5548958719542";"isabela.teixeira@gmail.com";"Neurologia / Epilepsia e Transtornos Neurodegenerativos";"Florianópolis";"SC";"Diretório Nacional de Especialistas & Prescritores"
"Dra. Denise Barbosa Alves";"5527987145315";"https://wa.me/5527987145315";"denise.barbosa@gmail.com";"Ortopedia & Traumatologia / Tratamento da Dor";"Vitória";"ES";"Diretório Nacional de Especialistas & Prescritores"
"Dra. Patricia Lima Martins";"5567922453152";"https://wa.me/5567922453152";"patricia.lima@gmail.com";"Neurologia / Epilepsia e Transtornos Neurodegenerativos";"Campo Grande";"MS";"Diretório Nacional de Especialistas & Prescritores"
"Dr. Daniel Ribeiro Souza";"5551916679004";"https://wa.me/5551916679004";"daniel.ribeiro@drsaude.com.br";"Medicina de Família e Comunidade";"Porto Alegre";"RS";"Diretório Nacional de Especialistas & Prescritores"
"Dr. Daniel Pereira Cardoso";"5547915447563";"https://wa.me/5547915447563";"daniel.pereira@gmail.com";"Clínica Médica / Terapia Endocanabinoide";"Joinville";"SC";"Diretório Nacional de Especialistas & Prescritores"
"Dr. Rafael Machado Lopes";"5519941632212";"https://wa.me/5519941632212";"rafael.machado@clinicamedica.com.br";"Fitoterapia Médica / Cannabis Terapêutica";"Campinas";"SP";"Diretório Nacional de Especialistas & Prescritores"
"Dra. Amanda Santos Teixeira";"5554991930107";"https://wa.me/5554991930107";"amanda.santos@drsaude.com.br";"Endocrinologia / Modulação Hormonal e Canabinoide";"Caxias do Sul";"RS";"Diretório Nacional de Especialistas & Prescritores"
"Dr. Rodrigo Souza Vieira";"5565959843542";"https://wa.me/5565959843542";"rodrigo.souza@drsaude.com.br";"Medicina de Família e Comunidade";"Cuiabá";"MT";"Diretório Nacional de Especialistas & Prescritores"
"Dr. Guilherme Lima Gomes";"5521955948809";"https://wa.me/5521955948809";"guilherme.lima@consultoriomed.com.br";"Medicina de Família e Comunidade";"Rio de Janeiro";"RJ";"Diretório Nacional de Especialistas & Prescritores"
"Dr. Matheus Moreira Machado";"5521956377623";"https://wa.me/5521956377623";"matheus.moreira@saudeintegrativa.med.br";"Neurologia / Epilepsia e Transtornos Neurodegenerativos";"Niterói";"RJ";"Diretório Nacional de Especialistas & Prescritores"
"Dra. Priscila Carvalho Marques";"5582974250744";"https://wa.me/5582974250744";"priscila.carvalho@institutocanabis.med.br";"Medicina Integrativa & Funcional";"Maceió";"AL";"Diretório Nacional de Especialistas & Prescritores"
"Dr. Vinicius Gonçalves Lopes";"5562978966873";"https://wa.me/5562978966873";"vinicius.gonçalves@outlook.com";"Endocrinologia / Modulação Hormonal e Canabinoide";"Goiânia";"GO";"Diretório Nacional de Especialistas & Prescritores"
"Dr. Carlos Lopes Martins";"5524944138930";"https://wa.me/5524944138930";"carlos.lopes@gmail.com";"Geriatria & Cuidados Paliativos";"Petrópolis";"RJ";"Diretório Nacional de Especialistas & Prescritores"
"Dra. Natalia Costa Nunes";"5521954881484";"https://wa.me/5521954881484";"natalia.costa@clinicamedica.com.br";"Fitoterapia Médica / Cannabis Terapêutica";"Niterói";"RJ";"Diretório Nacional de Especialistas & Prescritores"
"Dr. Marcelo Martins Nunes";"5544995224045";"https://wa.me/5544995224045";"marcelo.martins@gmail.com";"Psiquiatria Integrativa / Ansiedade e TDAH";"Maringá";"PR";"Diretório Nacional de Especialistas & Prescritores"
"Dra. Vanessa Marques Machado";"5581941637736";"https://wa.me/5581941637736";"vanessa.marques@drsaude.com.br";"Clínica Médica / Terapia Endocanabinoide";"Recife";"PE";"Diretório Nacional de Especialistas & Prescritores"
"Dra. Isabela Andrade Oliveira";"5513985485453";"https://wa.me/5513985485453";"isabela.andrade@institutocanabis.med.br";"Endocrinologia / Modulação Hormonal e Canabinoide";"Santos";"SP";"Diretório Nacional de Especialistas & Prescritores"
"Dra. Tatiana Nascimento Marques";"5547954404670";"https://wa.me/5547954404670";"tatiana.nascimento@clinicamedica.com.br";"Geriatria & Cuidados Paliativos";"Joinville";"SC";"Diretório Nacional de Especialistas & Prescritores"
"Dra. Luiza Santana Costa";"5582922609271";"https://wa.me/5582922609271";"luiza.santana@saudeintegrativa.med.br";"Ortopedia & Traumatologia / Tratamento da Dor";"Maceió";"AL";"Diretório Nacional de Especialistas & Prescritores"
"Dr. Caio Carvalho Dias";"5527960647033";"https://wa.me/5527960647033";"caio.carvalho@drsaude.com.br";"Medicina de Família e Comunidade";"Vitória";"ES";"Diretório Nacional de Especialistas & Prescritores"
"Dra. Monica Gonçalves Pereira";"5547936007617";"https://wa.me/5547936007617";"monica.gonçalves@outlook.com";"Psiquiatria Integrativa / Ansiedade e TDAH";"Joinville";"SC";"Diretório Nacional de Especialistas & Prescritores"
"Dr. Caio Silva Soares";"5516963473709";"https://wa.me/5516963473709";"caio.silva@clinicamedica.com.br";"Neurologia / Epilepsia e Transtornos Neurodegenerativos";"Ribeirão Preto";"SP";"Diretório Nacional de Especialistas & Prescritores"
"Dra. Flavia Freitas Lima";"5521977665080";"https://wa.me/5521977665080";"flavia.freitas@outlook.com";"Clínica Médica / Terapia Endocanabinoide";"Rio de Janeiro";"RJ";"Diretório Nacional de Especialistas & Prescritores"
"Dr. Fabio Barbosa Alves";"5511943075257";"https://wa.me/5511943075257";"fabio.barbosa@drsaude.com.br";"Medicina Integrativa & Funcional";"São Paulo";"SP";"Diretório Nacional de Especialistas & Prescritores"
"Dr. Murilo Martins Barbosa";"5532920493007";"https://wa.me/5532920493007";"murilo.martins@drsaude.com.br";"Neurologia / Epilepsia e Transtornos Neurodegenerativos";"Juiz de Fora";"MG";"Diretório Nacional de Especialistas & Prescritores"
"Dra. Beatriz Nunes Nascimento";"5512911941304";"https://wa.me/5512911941304";"beatriz.nunes@institutocanabis.med.br";"Ortopedia & Traumatologia / Tratamento da Dor";"São José dos Campos";"SP";"Diretório Nacional de Especialistas & Prescritores"
"Dra. Renata Marques Lima";"5531994891514";"https://wa.me/5531994891514";"renata.marques@drsaude.com.br";"Medicina Integrativa & Funcional";"Belo Horizonte";"MG";"Diretório Nacional de Especialistas & Prescritores"
"Dr. Carlos Santos Vieira";"5519982577317";"https://wa.me/5519982577317";"carlos.santos@outlook.com";"Ortopedia & Traumatologia / Tratamento da Dor";"Campinas";"SP";"Diretório Nacional de Especialistas & Prescritores"
"Dra. Patricia Oliveira Freitas";"5554919827467";"https://wa.me/5554919827467";"patricia.oliveira@clinicamedica.com.br";"Endocrinologia / Modulação Hormonal e Canabinoide";"Caxias do Sul";"RS";"Diretório Nacional de Especialistas & Prescritores"
"Dr. Sergio Martins Teixeira";"5534975226640";"https://wa.me/5534975226640";"sergio.martins@consultoriomed.com.br";"Psiquiatria Integrativa / Ansiedade e TDAH";"Uberlândia";"MG";"Diretório Nacional de Especialistas & Prescritores"
"Dra. Renata Nascimento Freitas";"5521961873815";"https://wa.me/5521961873815";"renata.nascimento@clinicamedica.com.br";"Fitoterapia Médica / Cannabis Terapêutica";"Rio de Janeiro";"RJ";"Diretório Nacional de Especialistas & Prescritores"
"Dr. Diego Lopes Marques";"5512958431417";"https://wa.me/5512958431417";"diego.lopes@consultoriomed.com.br";"Medicina de Família e Comunidade";"São José dos Campos";"SP";"Diretório Nacional de Especialistas & Prescritores"
"Dra. Luciana Marques Pereira";"5551948635414";"https://wa.me/5551948635414";"luciana.marques@drsaude.com.br";"Neurologia / Epilepsia e Transtornos Neurodegenerativos";"Porto Alegre";"RS";"Diretório Nacional de Especialistas & Prescritores"
"Dr. Bruno Santana Carvalho";"5534971294052";"https://wa.me/5534971294052";"bruno.santana@consultoriomed.com.br";"Medicina Integrativa & Funcional";"Uberlândia";"MG";"Diretório Nacional de Especialistas & Prescritores"
"Dr. Henrique Nunes Lopes";"5516962628041";"https://wa.me/5516962628041";"henrique.nunes@consultoriomed.com.br";"Neurologia / Epilepsia e Transtornos Neurodegenerativos";"Ribeirão Preto";"SP";"Diretório Nacional de Especialistas & Prescritores"
"Dr. Gustavo Nunes Oliveira";"5583950050716";"https://wa.me/5583950050716";"gustavo.nunes@consultoriomed.com.br";"Medicina de Família e Comunidade";"João Pessoa";"PB";"Diretório Nacional de Especialistas & Prescritores"
"Dr. Matheus Moreira Nunes";"5581920031703";"https://wa.me/5581920031703";"matheus.moreira@saudeintegrativa.med.br";"Psiquiatria Integrativa / Ansiedade e TDAH";"Recife";"PE";"Diretório Nacional de Especialistas & Prescritores"
"Dra. Vanessa Soares Machado";"5554996149578";"https://wa.me/5554996149578";"vanessa.soares@gmail.com";"Medicina de Família e Comunidade";"Caxias do Sul";"RS";"Diretório Nacional de Especialistas & Prescritores"
"Dra. Larissa Moreira Silva";"5571921628450";"https://wa.me/5571921628450";"larissa.moreira@gmail.com";"Fitoterapia Médica / Cannabis Terapêutica";"Salvador";"BA";"Diretório Nacional de Especialistas & Prescritores"
"Dra. Priscila Silva Rodrigues";"5541985001055";"https://wa.me/5541985001055";"priscila.silva@outlook.com";"Geriatria & Cuidados Paliativos";"Curitiba";"PR";"Diretório Nacional de Especialistas & Prescritores"
